Article,Product Name,Category,Amazon Search Hint,Affiliate URL (paste here),Status,Notes
/advice/toilet-leaking-at-the-base,Toilet wax ring kit (with reinforced flange horn),Toilet repair part,"""toilet wax ring kit reinforced""",,Draft,Get one with a flange horn; plain wax rings squish too thin
/advice/toilet-leaking-at-the-base,Closet bolt kit (new bolts + washers),Toilet repair part,"""toilet closet bolts stainless""",,Draft,Replace with new bolts whenever you pull the toilet
/advice/faucet-dripping,Universal faucet washer & O-ring assortment,Faucet repair part,"""faucet washer o ring assortment kit""",,Draft,Covers most common compression-stem faucets
/advice/faucet-dripping,Faucet cartridge puller,Faucet repair tool,"""faucet cartridge puller tool""",,Draft,For single-handle faucets where the cartridge is corroded in
/advice/sink-drain-leaking-under-kitchen-sink,P-trap replacement kit (1-1/2 in),Plumbing repair part,"""kitchen sink p trap kit 1.5 inch""",,Draft,Flexible or rigid PVC; bring old one to match if measurement unclear
/advice/sink-drain-leaking-under-kitchen-sink,Plumber's putty,Plumbing sealant,"""plumbers putty waterproof""",,Draft,For basket strainers and sink flanges; NOT for threaded joints
/advice/water-under-the-bathroom-sink,Braided stainless supply lines (pair),Plumbing repair part,"""braided stainless faucet supply line pair""",,Draft,Replace old supply lines at any sign of corrosion or kinking
/advice/water-under-the-bathroom-sink,Wi-Fi water leak alarm (multi-sensor set),Smart home / leak detection,"""water leak detector wifi multi pack""",,Draft,Place one under every under-sink cabinet and behind the washer
/advice/drywall-damage-after-a-leak,Drywall repair patch kit (mesh + compound),Drywall repair,"""drywall repair kit patch mesh""",,Draft,For small holes and soft spots after a leak
/advice/drywall-damage-after-a-leak,Setting-type joint compound (lightweight),Drywall finishing,"""setting type joint compound 20 minute""",,Draft,Dries by chemical reaction; stronger than pre-mix for patches
/advice/sump-pump-not-working,Sump pump battery backup,Sump pump accessory,"""sump pump battery backup system""",,Draft,The cheapest insurance against a basement flood during a power outage
/advice/water-heater-leaking,Combination carbon-monoxide + smoke alarm,Safety device,"""combination smoke carbon monoxide alarm""",,Draft,Gas water heaters; replace every 10 years
/advice/water-heater-leaking,Water heater drain pan (26 in / 30 in),Water heater accessory,"""water heater drain pan 26 inch""",,Draft,Match the diameter of your tank; catches small slow leaks
/advice/garbage-disposal-leaking,Disposal splash guard (universal),Garbage disposal part,"""garbage disposal splash guard""",,Draft,Cheap and easy to replace; quiets noise too
/advice/garbage-disposal-leaking,Disposal reset/jam wrench (1/4 in hex),Garbage disposal tool,"""garbage disposal wrench""",,Draft,Fits the hex recess on the bottom of most disposals
/advice/ac-not-cooling,HVAC pleated air filters (multipack),HVAC maintenance,"""16x25x1 pleated air filter 6 pack""",,Draft,Filter size varies — match yours; MERV 8–11 is the homeowner sweet spot
/advice/ac-not-cooling,Evaporator coil cleaner (no-rinse),HVAC maintenance,"""no rinse evaporator coil cleaner""",,Draft,Safe for indoor coils; outdoor coils can use rinse-type
/advice/clogged-ac-condensate-drain-line,Condensate line clearing tool (CO2 or pump),HVAC maintenance,"""ac condensate line blaster""",,Draft,Option to a shop vac for homeowners without one
/advice/clogged-ac-condensate-drain-line,Condensate drain treatment tablets,HVAC maintenance,"""ac drain line treatment tablets""",,Draft,Slow-release enzyme tablets; prevent algae buildup
/advice/gfci-outlet-keeps-tripping,Replacement GFCI outlet (15A or 20A),Electrical part,"""15 amp gfci outlet self test""",,Draft,Self-test models are now the standard; match your circuit's amp rating
